durablefishingrod;Durable Fishing Rod
swtjc_ewg_uncommonbeampistol;Uncommon Beam Pistol
swtjc_ewg_uncommonrevolver;Uncommon High-Caliber Pistol
swtjc_ewg_commonminirocketlauncher;Common Mini-Rocket Launcher
swtjc_ewg_rareminirocketlauncher;Rare Mini-Rocket Launcher
swtjc_ewg_uncommonminirocketlauncher;Uncommon Mini-Rocket Launcher
swtjc_ewg_commonautoshotgun;Common Automatic Shotgun
swtjc_ewg_commonflakcannon;Common Flak Cannon
swtjc_ewg_commonsawedoffshotgun;Common Short-Barreled Shotgun
swtjc_ewg_rareautoshotgun;Rare Automatic Shotgun
swtjc_ewg_rareflakcannon;Rare Flak Cannon
swtjc_ewg_raresawedoffshotgun;Rare Short-Barreled Shotgun
swtjc_ewg_uncommonautoshotgun;Uncommon Automatic Shotgun
swtjc_ewg_uncommonflakcannon;Uncommon Flak Cannon
swtjc_ewg_uncommonsawedoffshotgun;Uncommon Short-Barreled Shotgun
swtjc_ewg_commonantimaterialrifle;Common Anti-Material Rifle
swtjc_ewg_commonbeamrifle;Common Beam Rifle
swtjc_ewg_rareantimaterialrifle;Rare Anti-Material Rifle
swtjc_ewg_rarebeamrifle;Rare Beam Rifle
swtjc_ewg_uncommonantimaterialrifle;Uncommon Anti-Material Rifle
swtjc_ewg_uncommonbeamrifle;Uncommon Beam Rifle
aegisaltpistol2;Damaged Pistol
aegisaltpistol3;Protectorate Pistol
bigdaddy;Instigator
biogun;Bio Rifle
biopistol;Poison Ejector
blastcannon;Blast Cannon
blistergun;Blister Gun
blisterpistol;Blister Pistol
blizzardcannon;Blizzard Cannon
classiczapper;Classic Zapper
crystalgun;Crystalline Cannon
curveblaster;Breach Gun
curvepistol;Breach Pistol
curvesmg;Breach Blaster
densiniumrifle;Densinium Rifle
eldercarbine;Elder Disruptor
elderpistol;Disruptor Pistol
elderrepeater;Dimensional Repeater
elderripper;Ripper Gun
energyassault;F4 Energy Rifle
eyecannon;Ocu Cannon
farsight;FarSight XR-20
ff_bubblegun;Bubblegun
ff_icechucker;Ice Blaster
flaregun;Flare Gun
friendmaker;Friendmaker
fualienlaser;Alien Laser
fucarbonhandcannon;Blasthammer
fucellgun;Cellular Rifle
fucyclone;Cyclone
fuforcegun;Cage Gun
fugaussmachinegun;Gauss Machinegun
fugausspistol;Gauss Pistol
fugaussrifle;Gauss Rifle
fugrinder;Grinder
fuhuntingrifle;Hunting Rifle
fuhuntingrifle2;Hunting Rifle II
fuhuntingrifle3;Hunting Rifle III
fuisogenpistol;Icer
fuobliterator;Obliterator
fuplasmacannon;Plasma Eruptor
fuplasmagun;Plasma Rifle
fupyreitepistol;Vengeance
furainbowgun;Prismatic Cannon
furepairgun;Mech Repair Tool
fuspawngun;Floran Needler
fusteampunkgun;Shock Rifle
fustingergun;Sting Needler
fustingergun2;Stinger Burstrifle
futriangliumpistol;Showstopper
futriangliumsmg;Vagabond
futritaniumpistol;Wildfire
fuvaporizer;Precursor Vaporizer
goregun;Gore Gun
gravgun;Gravity Gun
gravitongun;Graviton Gun
gravitonpistol;Graviton Pistol
gravitonpistolunique;Kevin
hellfirecannon;Hellfire Ejector
hellfiregun;Hellfire Gun
invisipuke;Invisipuke!
invisiswarmgun;Swarm Gun (1)
swarmgun;Swarm Gun (2)
ionrifle;Ion Rifle
irradiumrifle;Irradium Rifle
isn_magmavulcan;Pyre Vulcan
k3rifle;K3 Double-Tap
laspistol;Laser Pistol
lasrifle;Laser Rifle
longarm;Longarm Shotgun (1)
npclongarm;Longarm Shotgun (2)
longarmpistol;Longarm Pistol
lunaripistol;Lunari Pistol
lunaririfle;Lunari Rifle
mechgun;Precursor Rifle
mechpistol;Precursor Pistol
mineralcannon;Particle Rifle
mineralcannonadv;Particle Cannon
mineralcannonadv2;Hyperion Particle Cannon
mineralpistol;Particle Pistol
minirocketlauncher;Micro-Rocket Launcher
minirocketlauncher2;Micro-Rocket Cannon
murdermanipulator;Murder Manipulator
murdermanipulator2;Slaughter Manipulator
mushroomgun;Fungal Gun
napalmcannon;Napalm Launcher
nitrogengun;Nitrogen Cannon
nitrogenpistol;Nitrogen Pistol
protogun;Proto Gun
protopistol;Proto Pistol
rimecutter;Rime Cutter
shoggothgun;Biomorphic Cannon
slimelauncher;Slime Launcher
sniperknife;Sniper Knife
snubber;Snub Gun
spawngun;Spike-Bug Launcher
swarmgun2;Swarm Gun MKII
tentabane;Frostbringer
teslagun;Tesla Gun
thornrifle;Thorn Rifle
thornslinger;Thorn Slinger
futinydancer;Tiny Dancer
vashtagun;Vashta Cutter
verdantcarbine;Verdant Carbine
verdantrailgun;Verdant Rifle
atomsmasher;Atom Smasher
biooozegun;Ooze Gun
healingliquidgun;Healing Water Gun
honeygun;Honey Gun
liquidacidgun;Acid Gun
liquidpoisongun;Poison Gun
basicminer;Mining Laser (1)
lunarbaselaser;Mining Laser (2)
hybridminer;B-97 Miner
hybridminer2;C-7 Miner
hybridminer3;D4-B Miner
hybridminer4;KX-1 Miner
hybridminer5;CT-4 Mining Cannon
penumbriteminer;A-7C Miner
protominer;P-7 Miner
chargeshotgun;Scorch Burstgun
chargecannon;Charge Blaster
chargesmg;Precursor Crippler
chargemachinegun;Crippler Machinegun
fufreezecannon;Coldsnap
fufreezecannonKhe;Snow Cannon
frostcannonarm;Mistral Icethrower
fubeamgun;Beam Gun
fucloudgun;Boom Cannon
fuenergyblaster;Energy Lobber
fuenergymachinegun;Thresher
fuminelayer;Mine Launcher
furailgun;Railgun
fushocklance;Shocklance
chargepistol;Glacial Pistol
fuaegisaltminigun;Imperius Minigun (1)
fuaegisaltminigunnpc;Imperius Minigun (2)
irradiumpistol;Irradium Pistol
irradiumshotgun;Irradium Burstgun
splittergun;Fissure Splitrifle
precursorcannonnew;Precursor Annihilator
isn_annihilator;Wave Gun
isn_flamethrower4;Inferno
isn_flamethrower;Incinerator (1)
isn_incinerator;Incinerator (2)
isn_fusioncannon;Fusion Cannon
isn_irradiator;Irradiator
fugoldengun;Scaramanga
isn_flintlock;.45 Revolver
kineticrifle;Redirector
isn_microwaveray;Sonic Cannon
isn_napalmsprayer;Scorchburst
isn_plasmabeam;Plasma Beam Cannon
isn_plasmapistol;Plasma Pistol
isn_sunstream;Polaris
isn_terawattlaser;XT-3 Laser Cannon
armcannon;Arm Cannon
armcannonbroken;Arm Cannon [Broken] 
armcannonexplosive;Arm Cannon (Missile)
armcannonfire;Arm Cannon (Fire)
armcannonice;Arm Cannon (Ice)
armcannonproto;Arm Cannon (Fusion)
armcannonshock;Arm Cannon (Shock)
hailstrike;Hail Strike
razorneedler;Crystalline Needler
scorchneedler;Scorch Needler
shockneedler;Shock Needler
toxicneedler;Toxic Needler
mobiusrifle;Sentry Rifle (1)
mobiusrifle2;Sentry Rifle (2)
mobiuspistol;Sentry Pistol
mobiusrailgun;Sentry Railgun
capturegun;Capture Gun
cultiststaff1;Cultist's Staff
cultiststaff2;Eldritch Staff
cultiststaff3;Staff of Madness
druidstaff;Druid Staff
druidstaff2;Nature's Wrath
gravitystaff;Matter Staff
fu_lasereyestaff;Cane of Eyes
corruptstaff;Corrupt Staff
effigiumstaff;Effigium Staff
irradiumstaff;Irradium Staff
isogenstaff;Isogen Staff
lunaristaff;Lunari Staff
penumbrastaff;Penumbra Staff
plutoniumstaff;Plutonium Staff
prismaticstaff;Prismatic Staff
protocitestaff;Protocite Staff
pyreitestaff;Pyreite Staff
quietusstaff;Quietus Staff
tritaniumstaff;Tritanium Staff
xithricitestaff;Xithricite Staff
shadowstaff;Shadow Staff
floatstaff;Gravity Wand
fubiowand;Bio Wand
fuflamewand;Bone Wand
fuicewand;Frost Wand
fupoisonwand;Toxic Wand
corruptwand;Corrupt Wand
effigiumwand;Effigium Wand
irradiumwand;Irradium Wand
isogenwand;Isogen Wand
lunariwand;Lunari Wand
penumbrawand;Penumbra Wand
plutoniumwand;Plutonium Wand
prismaticwand;Prismatic Wand
protocitewand;Protocite Wand
pyreitewand;Pyreite Wand
quietuswand;Quietus Wand
tritaniumwand;Tritanium Wand
xithricitewand;Xithricite Wand
teslastaff1;Tesla's Wand
corewhip;Fiery Whip
elderwhip;Elder Whip
gorgolithtail;Gorgorlith Tail
lasherwhip;Lasher Whip
acidprotectionback;Acid EPP
battlepack;Battle Pack
battlepack2;Battle Pack II
battlepack3;Battle Pack III
coldprotectionback2;Heating EPP II
coldprotectionback3;Heating EPP III
diamondlantern;Diamond Lantern
batterypack_erithian;Erithian Energy Pack
fieldgenerator;Field Generator (1)
fieldgen;Field Generator (2)
flexcape;Flexx Cape
fufallenangelwings;Fallen Wings
fufireangelwings;Burning Wings
fuicaruswings;Icarus Wings
fusurvivorback;Type-S Survival Pack
blueguardianback;Guardian Wings (1)
greenguardianback;Guardian Wings (2)
pinkguardianback;Guardian Wings (3)
yellowguardianback;Guardian Wings (4)
heatprotectionback2;Cooling EPP II
heatprotectionback3;Cooling EPP III
isn_heatshell;Thermal Shell
isn_plasmalight;Plasma Light Pack
batterypack_morphite;Antimatter Energy Pack
poisonprotectionback;Poison EPP I
poisonprotectionback2;Poison EPP II
poisonprotectionback3;Poison EPP III
batterypack_protocyte;Protocite Energy Pack
batterypack_quantum;Quantum Energy Pack
radiationprotectionback2;Radiation EPP II
radiationprotectionback3;Radiation EPP III
repulsorfieldback;Repulsor Field Pack
shadowbonecape;Vortex Cape
fubeesuitchest;Bee Keeper's Armor
fubeesuithead;Bee Keeper's Helm
fubeesuitpants;Bee Keeper's Pants
fubeewings;Bee Wings
fugoldenchest;Amber Plate Armor
fugoldenhead;Amber Knight's Helm
fugoldenlegs;Amber Leg Plates
fuqueenchest;Queen's Dress
fuqueenhead;Queen's Head
fuqueenlegs;Queen's Skirt
colourfulchest;Replace (1)
colourfulhead;Replace (2)
colourfullegs;Replace (3)
colourful2head;Replace (4)
fuearphones;Hi-Fi Earphones
herocowl;Joke Glasses (1)
jokeglasses;Joke Glasses (2)
metalheadhead;Metalhead Hair
sharkmask;Shark Mask
fuoperativechestnpc;Operative Chest Armor (1)
fuoperativechest;Operative Chest Armor (2)
fuoperativelegsnpc;Operative Leg Armor (1)
fuoperativelegs;Operative Leg Armor (2)
fudarkrobeschestnpc;Stalker's Robe (1)
fudarkrobeschest;Stalker's Robe (2)
fudarkrobeshelmetnpc;Stealker's Hood
fudarkrobespantsnpc;Stalker's Legs (1)
fudarkrobespants;Stalker's Legs (2)
fuinfernochestnpc;Inferno Chest (1)
fuinfernochest;Inferno Chest (2)
fuinfernoheadnpc;Inferno Helm (1)
fuinfernohead;Inferno Helm (2)
fuinfernopantsnpc;Inferno Pants (1)
fuinfernopants;Inferno Pants (2)
sciencefuchestnpc;Arctic Parka (1)
sciencefuchest;Arctic Parka (2)
sciencefuheadnpc;Arctic Hood (1)
sciencefuhead;Arctic Hood (2)
sciencefulegsnpc;Arctic Snowpants (1)
sciencefulegs;Arctic Snowpants (2)
mutachitinchest;Muta-Chitin Chest
mutachitinhead;Muta-Chitin Helm
mutachitinpants;Muta-Chitin Greaves
shellplatechest;Shellplate Chest
shellplatehead;Shellplate Helm
shellplatepants;Shellplate Greaves
vilechest;Vile Plate
vilehead;Vile Helm
vilepants;Vile Greaves
bmcglowscoutvisor;Glow Scout Visor
bmcjumpscoutvisor;Jump Scout Visor
bmcspeedscoutvisor;Speed Scout Visor
celestaruniform1chest;Admiral Top
celestaruniform1pants;Admiral Bottoms
celestaruniform2chest;Poly-Thread Top
celestaruniform2pants;Poly-Thread Pants
celestaruniform3chest;Myral Top
celestaruniform3pants;Myral Bottom
celestaruniform4chest;Elite Shirt
celestaruniform4pants;Elite Pants
glitterfolkchest;Elite Top
glitterfolklegs;Elite Dress
goggles1;Mad Science Goggles (1)
goggles2;Mad Science Goggles (2)
gutterpunkchest;Elite Jacket
gutterpunklegs;Elite Shorts
hiddenevachest;Charred E.V.A Suit
hiddenevahead;Punctured E.V.A Helmet
hiddenevapants;Damaged E.V.A Pants
madscientistchest;Mad Science Jacket
madscientistpants;Mad Science Pants
fumantizidrapedchest;Draped Top
fumantizidrapedlegs;Draped Skirt
fumantizihoodhead;Black Hood
fumantizimerchchest;Merchant Top
fumantizimerchlegs;Merchant Leggings
fumantiziplebchest;Plebeian Top
fumantizipleblegs;Plebeian Skirt
fumantiziruffianchest;Ruffian Gloves
fumantiziruffianlegs;Ruffian Sandals
fumantizitogachest;Toga Top
fumantizitogalegs;Toga Bottom
zaibatsuchest;Zaibatsu Top
zaibatsulegs;Zaibatsu Skirt
armoredsnowpants;Reinforced Snowpants
boosterchest;Booster Croptop
boosterlegs;Booster Pants
fubonearmorchest;Bone Chest (1)
bonechest;Bone Chest (2)
fubonearmorhead;Bone Mask
fubonearmorlegs;Bone Legs
leatherchest;Leather Jerkin
leatherhead;Leather Cap
leatherpants;Leather Leggings
missionaryrobechest;Monks Robe
missionaryrobehead;Monks Hood
missionaryrobepants;Monks Leggings
fumantizitier1chest;Plebeian Plates
fumantizitier1head;Plebeian Cap
fumantizitier1pants;Plebeian Greaves
kirhostier1chest;Underworld Chestpiece
kirhostier1head;Underworld Goggles
kirhostier1pants;Underworld Greaves
fubearchest;Battle Totem Jerkin
fubearhead;Battle Totem Mask
fubearlegs;Battle Totem Greaves
blisterchest;Blister Chest
blisterhelm;Blister Helm
blisterpants;Blister Greaves
fuwolfchest;Fang Shaman Coat
fuwolfhead;Fang Shaman Hood
fuwolflegs;Fang Shaman Leggings
ff_slimechest;Slime Chest (1)
slimehide;Slime Chest (2)
ff_slimehead;Slime Helm
ff_slimelegs;Slime Greaves
fubonearmor2chest;Bone-Steel Chest
fubonearmor2head;Bone-Steel Mask
fubonearmor2legs;Bone-Steel Legs
fureconchest;Recon Vest
fureconhead;Recon Headgear
fureconpants;Recon Leggings
kirhostier2chest;Hacker Overcoat
kirhostier2head;Hacker Mask
kirhostier2pants;Hacker Pants
lunarichest;Lunari Armor
lunarihead;Lunari Helm
lunarilegs;Lunari Greaves
fumantiziroyalguardchest;Stalwart Top
fumantiziroyalguardhead;Stalwart Helmet
fumantiziroyalguardpants;Stalwart Leggings
fumantiziroyalguardornatechest;Footman Plate
fumantiziroyalguardornatehead;Footman Helmet
fumantiziroyalguardornatepants;Footman Leggings
fumantizitier2chest;Militia Armor
fumantizitier2head;Militia Helmet
fumantizitier2pants;Militia Skirt
fudesertwalkerchest;Nomad Robes
fudesertwalkerhead;Nomad Hood
fudesertwalkerpants;Nomad Pants
fuoperativehead;Operative Cap
fusamuraichest;Samurai Breastplate
fusamuraihead;Samurai Helmet
fusamurailegs;Samurai Pants
bloodgarbchest;Sanguine Vest
bloodgarbhead;Sanguine Crown
bloodgarbpants;Sanguine Boots
cannoneerchest;Swashbuckler Coat
cannoneerhead;Swashbuckler Hat
cannoneerlegs;Swashbuckler Pants
tw_spacesuitchest;Hazard Breastplate
tw_spacesuithead;Hazard Helmet
tw_spacesuitlegs;Hazard Leggings
tw_spacesuitback;Spacesuit Airtank
deckardchest;Vagabond's Coat
deckardhead;Vagabond's Visor
deckardpants;Vagabond's Pants
fuexplorerchest;Assault Armor
fuexplorerhead;Assault Helmet
fuexplorerlegs;Assault Greaves
warriorrobeschest;Azun Chest
warriorrobeshead;Azun Hood
warriorrobespants;Azun Pants
battlebornchest;Battleborn Plate
battlebornhead;Battleborn Helm
battlebornpants;Battleborn Greaves
chaoschest;Chaos Robe
chaoshead;Chaos Hood
chaospants;Chaos Pants
chitinchest;Chitin Chest
chitinhead;Chitin Helm
chitinlegs;Chitin Greaves
kirhostier3chest;Corsair Breastplate
kirhostier3head;Corsair Helm
kirhostier3pants;Corsair Leggings
cultcrown;Elder Crown
hoodedchest;Dweller Chest
hoodedhead;Dweller Cowl
hoodedlegs;Dweller Greaves
evachest;E.V.A Suit
evahead;E.V.A Helmet
evapants;E.V.A Pants
fuplatinumarmorchest;Evader Chestpiece
fuplatinumarmorhead;Evader Helmet
fuplatinumarmorpants;Evader Greaves
ff_slimechest2;Black Slime Chest
ff_slimehead2;Black Slime Helm
ff_slimelegs2;Black Slime Legs
fuhoplitechest;Hoplite Plate
fuhoplitehead;Hoplite Helm
fuhoplitepants;Hoplite Greaves
fuintrepidchest;Intrepid Plating
fuintrepidhead;Intrepid Hood
fuintrepidpants;Intrepid Robes
fujunkerchest;Junker Chestpiece
fujunkerhead;Junker Helm
fujunkerpants;Junker Greaves
fulightpriestchest;Light Priest Robes
fulightpriesthead;Light Priest Hood
fulightpriestpants;Light Priest Pants
furaiderchest;Raider Armor
furaiderhead;Raider Hood
furaiderpants;Raider Legs
fureconchest2;Elite Recon Vest
fureconhead2;Elite Recon Helm
fureconpants2;Elite Recon Legs
furustedchest;Gendarme Chestplate
furustedhead;Gendarme Helmet
furustedlegs;Gendarme Greaves
masqueradechest;Masquerade Chest
masqueradehead;Masquerade Helm
masqueradepants;Masquerade Greaves
mutaviskchest;Mutavisk Chestpiece
mutaviskhead;Mutavisk Helm
mutavisklegs;Mutavisk Greaves
mutaviskmask;Mutavisk Mask
fudiverchest;Nautilus Chestpiece
fudiverhead;Nautilus Helmet
fudiverlegs;Nautilus Leggings
ff_scoutchest;Scout Chestpiece
ff_scouthelm;Scout Helm
ff_scoutpants;Scout Greaves
rustchest2;Shielded Chestpiece
rusthead2;Shielded Helmet
rustlegs2;Shielded Legs
kinumoarmorchest;Siren's Breastplate
kinumoarmorhead;Siren's Helm
kinumoarmorpants;Siren's Greaves
fumantizitier3chest;Slayer Gauntlets
fumantizitier3head;Slayer Helm
fumantizitier3pants;Slayer Boots
spacefarerchest;Spacefarer Chest
spacefarerhead;Spacefarer Helm
spacefarerpants;Spacefarer Greaves
fudarkrobeshelmet;Stalker's Hood
fusteampunkchest;Steampunk Coat
fusteampunkhead;Steampunk Mask
fusteampunklegs;Steampunk Slacks
fupioneerchest;Wanderer Chestguard
fupioneerhead;Wanderer Helm
fupioneerpants;Wanderer Pants
agilitysuitchest;Agent Chest
agilitysuithead;Agent Headset
agilitysuitlegs;Agent Legs
fubearchest2;Savage Bear Coat
fubearhead2;Savage Bear Hood
fubearlegs2;Savage Bear Greaves
blisterchestalt;Blister Chest II
blisterhelmalt;Blister Helm II
blisterpantsalt;Blister Greaves II
cellulararmorchest;Cellular Breastplate
cellulararmorhead;Cellular Helm
cellulararmorpants;Cellular Leggings
fflagoonchest;Chordata Chestplate
fflagoonhead;Chordata Head
fflagoonlegs;Chordata Leggings
cultfleshchest;Flesh Chestplate
cultfleshhead;Flesh Helmet
cultfleshlegs;Flesh Leggings
enforcerchest;Enforcer Chestplate
enforcerhead;Enforcer Helmet
enforcerpants;Enforcer Greaves
fieldscientistchest;Geologist's Coat
fieldscientisthead;Geologist's Bright Goggles
fieldscientistlegs;Geologist's Slacks
fieldscientisthead2;Geologist's Hardy Goggles
fieldscientisthead3;Geologist's Shield Goggles
fieldscientisthead4;Geologist's Attack Goggles
fuexosuitchest;Bio-Flesh Torso
fuexosuithead;Bio-Flesh Head
fuexosuitlegs;Bio-Flesh Abdomen
fuarmoredcultistback;Writhing Tentacles
fuarmoredcultistchest;Corrupted Armor
fuarmoredcultisthead;Corrupted Hood
fuarmoredcultistlegs;Corrupted Legs
fubountyhunterchest;Bounty Hunter Plate
fubountyhunterhead;Bounty Hunter Helm
fubountyhunterpants;Bounty Hunter Pants
fudiverchest2;Kraken Cuirass
fudiverhead2;Kraken Helmet
fudiverlegs2;Kraken Leggings
fuguardianchest;Guardian Carapace
fuguardianhead;Guardian Visor
fuguardianpants;Guardian Greaves
fuinvaderchest;Invader Armor
fuinvaderhead;Invader Visor
fuinvaderpants;Invader Greaves
fuprophetchest;Prophet Chest
fuprophethead;Prophet Significa
fuprophetpants;Prophet Pants
fuprotectorchest;Protector Plating
fuprotectorhead;Protector Mask
fuprotectorpants;Protector Robes
furavagerchest;Ravager Carapace
furavagerhead;Ravager Helmet
furavagerpants;Ravager Robes
fustarkillerchest;Star-Killer Plate
fustarkillerhead;Star-Killer Mask
fustarkillerpants;Star-Killer Robes
tacticalchest;Ghost-Weave Chestpiece
tacticalhead;Ghost-Weave Mask
tacticalpants;Ghost-Weave Pants
graphenechest;Graphene Jacket
graphenehead;Graphene Helm
graphenelegs;Graphene Leggings
wastelandchest2;Hunter's Chestpiece
wastelandhead2;Hunter's Mask
wastelandlegs2;Hunter's Pants
kirhostier4chest;Intersec Breastplate
kirhostier4head;Intersec Helmet
kirhostier4pants;Intersec Greaves
irradiumchest;Irradium Chest
irradiumhelm;Irradium Helm
irradiumlegs;Irradium Greaves
fukingslayerchest;Kingslayer Plate
fukingslayerhead;Kingslayer Helm
fukingslayerpants;Kingslayer Greaves
fumonsterplatedchest;Monster Plate Chestguard
fumonsterplatedhead;Monster Plate Helmet
fumonsterplatedlegs;Monster Plate Leggings
fumantizitier4chest;Primus Armor
fumantizitier4head;Primus Helmet
fumantizitier4pants;Primus Skirt
quietuschest;Ranger Plate
quietushead;Ranger Helm
quietuslegs;Ranger Greaves
reptilianchest;Reptile Scale Chestpiece
reptilianhead;Reptile Scale Head
reptilianlegs;Reptile Scale Legs
ff_scoutchest_melee;Warrior Chestpiece
ff_scouthelm_melee;Warrior Helm
ff_scoutpants_melee;Warrior Greaves
shadowbonearmorchest;Shadow Chestplate
shadowbonearmorhead;Shadow Helmet
shadowbonearmorpants;Shadow Greaves
spacefarerchestadv;Spacefarer mk2 Chest
spacefarerheadadv;Spacefarer mk2 Helm
spacefarerpantsadv;Spacefarer mk2 Greaves
wastelandchest;Survivor's Chestpiece
wastelandhead;Survivor's Mask
wastelandlegs;Survivor's Pants
xenochest;X10 Power Armor
xenohead;X10 Power Helm
xenolegs;X10 Power Legs
fubonusarmorchest;Dark Matter Chestpiece
fubonusarmorhead;Dark Matter Helmet
fubonusarmorpants;Dark Matter Greaves
kirhostier5mchest;Decker's Suit
kirhostier5mhead;Decker's Visor
kirhostier5mpants;Decker's Greaves
cultarmorchest;Cultist Robe
cultarmorhead;Cultist Cowl
cultarmorpants;Cultist Pants
ff_diamondarmorchest;Gishinanki Chestpiece
ff_diamondarmorhead;Gishinanki Helmet
ff_diamondarmorpants;Gishinanki Greaves
ff_slimechest3;Red Slime Chest
ff_slimehead3;Red Slime Helm
ff_slimelegs3;Red Slime Greaves
fudiverchest3;Leviathan Cuirass
fudiverhead3;Leviathan Helmet
fudiverlegs3;Leviathan Leggings
fuprecursorchest;Precursor Chestplate
